Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Hard Drive Rotational Speed,Optical Drive Type,Power Source,Batteries,Screen Size,Max Screen Resolution,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,laptop_link,Hardware Platform,Flash Memory Size,Screen Resolution,Graphics Card Ram Size,Memory Speed,Average Battery Life (in hours),Package Dimensions,Rear Webcam Resolution,Voltage,Manufacturer,ASIN,Date First Available,National Stock Number
HP,17-BY105,17-BY105,Windows 10,5.2 pounds,16.33 x 10.72 x 0.96 inches,16.33 x 10.72 x 0.96 inches,,Intel,4,DDR4 SDRAM,,DVD-ROM,Battery Powered,1 Lithium ion batteries required. (included),17.3 inches,1600x900,Intel UHD Graphics 620,Intel,Integrated,802.11b/g,1,2,https://www.amazon.com/HP-Computer-Quad-Core-i5-8265U-Bluetooth/dp/B081JC228Y/ref=sr_1_29?dchild=1&keywords=laptops&qid=1592921600&sr=8-29,PC,256,1600x900,,3.9 GHz,,,,,,,,
Acer,Acer-Spin11-64GB,Acer 145,Windows 10,3 pounds,11.6 x 7 x 0.9 inches,11.6 x 7 x 0.9 inches,Grey,Intel,2,DDR4 SDRAM,,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),11.6 inches,1920 x 1080 pixels,Intel,Intel,Integrated,Bluetooth,,,https://www.amazon.com/Acer-Performance-Multi-Touch-Quad-core-Bluetooth/dp/B084H4NJDQ/ref=sr_1_30?dchild=1&keywords=laptops&qid=1592921600&sr=8-30,PC,64,1920x1080,2 MB,2.5 GHz,10 hours,,,,,,,
Acer,AN515-54-5812,AN515-54-5812,Windows 10 Home,5.07 pounds,14.31 x 10.04 x 0.96 inches,14.31 x 10.04 x 0.96 inches,,Intel,4,DDR4 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,,,NVIDIA,Dedicated,801.11ac,1,2,https://www.amazon.com/i5-9300H-GeForce-MaxxAudio-retroiluminado-AN515-54-5812/dp/B086KJBKDW/ref=sr_1_31?dchild=1&keywords=laptops&qid=1592921600&sr=8-31,,256,,,,,,,,,,,
Dell,D15,D15,Windows 10,4.8 pounds,14.96 x 10.09 x 0.89 inches,14.96 x 10.09 x 0.89 inches,Black,Intel,4,SDRAM,,,Battery Powered,1 Lithium ion batteries required. (included),15.6 inches,1366x768 lines_per_inch,Intel,Intel,Integrated,Bluetooth,,,https://www.amazon.com/2020-Newest-Dell-Inspiron-Laptop/dp/B088BLZ1WK/ref=sr_1_32?dchild=1&keywords=laptops&qid=1592921600&sr=8-32,PC,,,,1.8 GHz,,,,,,,,
HP,HP 14 Laptop,HP 14 Laptop,Windows 10 Home,3.25 pounds,12.76 x 8.9 x 0.78 inches,12.76 x 8.9 x 0.78 inches,Silver,AMD,2,DDR4 SDRAM,,,AC & Battery,1 Lithium ion batteries required. (included),14 inches,HD Display,AMD Radeon Vega 3,AMD,,802.11ac,,,https://www.amazon.com/HP-Touchscreen-Laptop-Processor-Bluetooth/dp/B0871RN3V6/ref=sr_1_33?dchild=1&keywords=laptops&qid=1592921600&sr=8-33,PC,256 GB,1366x768,,,,,,,,,,
Acer,CB5-532,NX.GHJAA.002,Chrome OS,4.3 pounds,15.1 x 10.1 x 0.9 inches,15.1 x 10.1 x 0.9 inches,Black,Intel,2,DDR3 SDRAM,,No Optical Drive,AC & Battery,1 Lithium Polymer batteries required.,15.6 inches,1366 x 768,HD Graphics 400,Intel,Integrated,802.11bgn,,2,https://www.amazon.com/Acer-Flagship-CB3-532-Premium-Chromebook/dp/B06XD3LXXK/ref=sr_1_34?dchild=1&keywords=laptops&qid=1592921600&sr=8-34,PC,16,1366 x 768,2 MB,1600 MHz,7 hours,,720 	MP	,,,,,
Lenovo,IdeaPad C330,81HY0000US,Chrome OS,2.64 pounds,11.5 x 0.77 x 8.48 inches,11.5 x 0.77 x 8.48 inches,Blizzard White,Mediatek,4,Unknown,7200 RPM,None,Battery Powered,1 Lithium Metal batteries required. (included),11.6 inches,1366X768 pixels,PowerVR SGX543,Intel,Integrated,802.11ac,,1,https://www.amazon.com/Lenovo-Chromebook-Convertible-11-6-Inch-81HY0000US/dp/B07GM2J11Q/ref=sr_1_35?dchild=1&keywords=laptops&qid=1592921600&sr=8-35,Chrome,64,,,1600 MHz,10 hours,,,,,,,
Lenovo,100e Chromebook,81QB0000US,Chrome OS,2.7 pounds,11.42 x 8.03 x 0.8 inches,11.42 x 8.03 x 0.8 inches,,Qualcomm,2,DDR4 SDRAM,7200 RPM,No Optical Drive,Battery Powered,1 Lithium Polymer batteries required. (included),11.6 inches,1366 x 768 pixels,,PowerVR,Integrated,802.11ac,,2,https://www.amazon.com/Lenovo-81QB0000US-100E-Chromebook/dp/B07Q6F5J7G/ref=sr_1_36?dchild=1&keywords=laptops&qid=1592921600&sr=8-36,Unknown,16,,4 GB,1866 MHz,10 hours,,,230 volts,,,,
ASUS,ZenBook 15,UX534FTC-AS77,Windows 10 Home,3.6 pounds,13.9 x 8.7 x 0.7 inches,13.9 x 8.7 x 0.7 inches,,Intel,4,DDR3 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080 pixels,NVIDIA GeForce GTX 1650,NVIDIA,Dedicated,802.11ax,,3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A02214402P75R530RD419&url=%2FASUS-i7-10510U-ScreenPad-Compatible-UX534FTC-AS77%2Fdp%2FB0869JVMLY%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921600%26sr%3D8-37-spons%26psc%3D1&qualifier=1592921600&id=3287486324231961&widgetName=sp_btf,PC,512,4096 x 2160 pixels,4 GB,,,,,,,,,
LG,LG gram,17Z90N-R.AAS9U1,Windows 10 Home,2.98 pounds,15 x 10.3 x 0.7 inches,15 x 10.3 x 0.7 inches,,Intel,4,DDR4 SDRAM,,No Optical Drive,Battery Powered,2 Lithium ion batteries required. (included),17 inches,2560 x 1600,,Intel,Integrated,802.11ax,,3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A07640421984WL8RZLH5B&url=%2FLG-Gram-Laptop-Battery-Thunderbolt%2Fdp%2FB082XQR86P%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921600%26sr%3D8-38-spons%26psc%3D1&qualifier=1592921600&id=3287486324231961&widgetName=sp_btf,PC,16,,,,17 hours,,,,,,,
