name,loc,rank,link,laptop
Chuck,"Reviewed in the United States on September 2, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AGFYI5RWFNZSJDY5CTYRPYW4A6RQ,https://www.amazon.com/Dell-22-Inch-LED-Lit-Certified-Refurbished/dp/B00UJVIX3Q/ref=sr_1_210?dchild=1&keywords=laptops&qid=1592682174&sr=8-210
Joe F,"Reviewed in the United States on May 23, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AF4J63CTX553YSBJFPXEIIKPEZJQ,https://www.amazon.com/Dell-22-Inch-LED-Lit-Certified-Refurbished/dp/B00UJVIX3Q/ref=sr_1_210?dchild=1&keywords=laptops&qid=1592682174&sr=8-210
Amazon Customer,"Reviewed in the United States on July 14, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AGSEBOMBR6HSLRPYSOAQ27PXU3KA,https://www.amazon.com/Dell-22-Inch-LED-Lit-Certified-Refurbished/dp/B00UJVIX3Q/ref=sr_1_210?dchild=1&keywords=laptops&qid=1592682174&sr=8-210
John Edward Llanes,"Reviewed in the United States on May 8, 2019",4.0 out of 5 stars,/gp/profile/amzn1.account.AEETMLTW2EIZEGFTHJOXEGAFL3LA,https://www.amazon.com/Dell-22-Inch-LED-Lit-Certified-Refurbished/dp/B00UJVIX3Q/ref=sr_1_210?dchild=1&keywords=laptops&qid=1592682174&sr=8-210
E. Lorenceau,"Reviewed in the United States on February 3, 2016",5.0 out of 5 stars,/gp/profile/amzn1.account.AGZOF7LWQ2YDJ7NL37A5CFPAYBHQ,https://www.amazon.com/Dell-22-Inch-LED-Lit-Certified-Refurbished/dp/B00UJVIX3Q/ref=sr_1_210?dchild=1&keywords=laptops&qid=1592682174&sr=8-210
Shawnus,"Reviewed in the United States on February 11, 2020",1.0 out of 5 stars,/gp/profile/amzn1.account.AFRDPZBEUROXOB2CXVF7BT4T2IQA,https://www.amazon.com/Dell-22-Inch-LED-Lit-Certified-Refurbished/dp/B00UJVIX3Q/ref=sr_1_210?dchild=1&keywords=laptops&qid=1592682174&sr=8-210
Clayton James Phillips,"Reviewed in the United States on December 6, 2016",4.0 out of 5 stars,/gp/profile/amzn1.account.AGYXW3IP7VRR2IHCIWIENJHCG2WA,https://www.amazon.com/Dell-22-Inch-LED-Lit-Certified-Refurbished/dp/B00UJVIX3Q/ref=sr_1_210?dchild=1&keywords=laptops&qid=1592682174&sr=8-210
Dave and Kym,"Reviewed in the United States on July 13, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AFTKVTVVRCUUY7ASSH4ULTBGY4ZQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg13_1?ie=UTF8&adId=A08569821CI3VWID1XV0S&url=%2FAcer-i5-10210U-802-11ax-Fingerprint-A515-54-59W2%2Fdp%2FB07XPLKZ5P%2Fref%3Dsr_1_213_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682174%26sr%3D8-213-spons%26psc%3D1&qualifier=1592682174&id=2535829389875864&widgetName=sp_btf
ttview,"Reviewed in the United States on June 28, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AGFUKNF6EAA5277QYX6ETYYTDNLA,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg13_1?ie=UTF8&adId=A08569821CI3VWID1XV0S&url=%2FAcer-i5-10210U-802-11ax-Fingerprint-A515-54-59W2%2Fdp%2FB07XPLKZ5P%2Fref%3Dsr_1_213_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682174%26sr%3D8-213-spons%26psc%3D1&qualifier=1592682174&id=2535829389875864&widgetName=sp_btf
Amazon Customer,"Reviewed in the United States on June 10, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AEMSLGQOKNWGDOGSQIFHALCJM6VQ,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg13_1?ie=UTF8&adId=A08569821CI3VWID1XV0S&url=%2FAcer-i5-10210U-802-11ax-Fingerprint-A515-54-59W2%2Fdp%2FB07XPLKZ5P%2Fref%3Dsr_1_213_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592682174%26sr%3D8-213-spons%26psc%3D1&qualifier=1592682174&id=2535829389875864&widgetName=sp_btf
Gary Chamberlain,"Reviewed in the United States on February 4, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AGEWFRUHQNS66ZHJN23QBFJ6I6PA,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
dean ritter,"Reviewed in the United States on March 12, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AGIA5NH36YFNSJJ7Y5J2KVFAP2CQ,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
Dan Stelter,"Reviewed in the United States on April 23, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AH734A2AAVGG77B664MWEZ4C2OMA,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
Jason Solano,"Reviewed in the United States on April 17, 2020",3.0 out of 5 stars,/gp/profile/amzn1.account.AGKWC6J7G662UYZ4CDY5DRTTAYNA,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
Max H. Herr,"Reviewed in the United States on May 23, 2020",4.0 out of 5 stars,/gp/profile/amzn1.account.AGS25S5NWADUERBQ7IUEEAUZVFOQ,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
DJ Greg Hawk,"Reviewed in the United States on February 8, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AFRWFVM3E5OCEXWRWLJR6LE5RQXA,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
bradley82,"Reviewed in the United States on February 26, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AH4JOJP6UIRS65XOBBCBZ33U2ZZA,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
Matt,"Reviewed in the United States on May 24, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AHQX7FQAUS67EUKV4Q67CP2YHOSA,https://www.amazon.com/HP-Envy-i7-10510U-1920x1080-Fingerprint/dp/B081LDKJCL/ref=sr_1_217?dchild=1&keywords=laptops&qid=1592682176&sr=8-217
Garry Stubbs,"Reviewed in the United States on November 8, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AFKZSSP2MAP25IIM7XHFYDZMDR5Q,https://www.amazon.com/HP-14-Dual-Core-Processor-Bluetooth/dp/B07Q13XR2H/ref=sr_1_250?dchild=1&keywords=laptops&qid=1592682179&sr=8-250
Keaton Conrad,"Reviewed in the United States on January 4, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AEZSN2A6HNNGDYYXY2BZLTMADYGQ,https://www.amazon.com/HP-14-Dual-Core-Processor-Bluetooth/dp/B07Q13XR2H/ref=sr_1_250?dchild=1&keywords=laptops&qid=1592682179&sr=8-250
Bill T,"Reviewed in the United States on April 28, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AFBPNWTVXDATEMCFECEUQCJQ6LHQ,https://www.amazon.com/HP-14-Dual-Core-Processor-Bluetooth/dp/B07Q13XR2H/ref=sr_1_250?dchild=1&keywords=laptops&qid=1592682179&sr=8-250
kycat2,"Reviewed in the United States on November 23, 2019",4.0 out of 5 stars,/gp/profile/amzn1.account.AHMIYP3DSNDSX5GKUSTA3T27OXDQ,https://www.amazon.com/HP-14-Dual-Core-Processor-Bluetooth/dp/B07Q13XR2H/ref=sr_1_250?dchild=1&keywords=laptops&qid=1592682179&sr=8-250
Amazon Customer,"Reviewed in the United States on February 1, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AEHNEI546OXWPVYLPVCTU44IZHOQ,https://www.amazon.com/HP-14-Dual-Core-Processor-Bluetooth/dp/B07Q13XR2H/ref=sr_1_250?dchild=1&keywords=laptops&qid=1592682179&sr=8-250
GREGORY GRIMES,"Reviewed in the United States on July 13, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AF2ZNKA2TMWLJT6XBN3EJ6CI7KPQ,https://www.amazon.com/HP-14-Dual-Core-Processor-Bluetooth/dp/B07Q13XR2H/ref=sr_1_250?dchild=1&keywords=laptops&qid=1592682179&sr=8-250
gloria nord,"Reviewed in the United States on April 12, 2020",4.0 out of 5 stars,/gp/profile/amzn1.account.AFNHX7JA3PMHQI7MTMDDV3K6QITA,https://www.amazon.com/HP-14-Dual-Core-Processor-Bluetooth/dp/B07Q13XR2H/ref=sr_1_250?dchild=1&keywords=laptops&qid=1592682179&sr=8-250
Amazon Customer,"Reviewed in the United States on April 16, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AFMWBO3QCBFAWUVFKJGFEB4YSZJQ,https://www.amazon.com/Newest-Dell-Inspiron-Premium-Laptop/dp/B082WQ4JBG/ref=sr_1_255?dchild=1&keywords=laptops&qid=1592682179&sr=8-255
Neha O.,"Reviewed in the United States on May 30, 2020",1.0 out of 5 stars,/gp/profile/amzn1.account.AE5ONVQOO6TBIFAMWHFCX3AEOS7Q,https://www.amazon.com/Newest-Dell-Inspiron-Premium-Laptop/dp/B082WQ4JBG/ref=sr_1_255?dchild=1&keywords=laptops&qid=1592682179&sr=8-255
Jalen fetter,"Reviewed in the United States on January 21, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AFC7X7B3EEIBPUTSQISHKZ6CJSXA,https://www.amazon.com/HP-Intel-i3-8130U-128GB-Laptop/dp/B07H8VG41H/ref=sr_1_265?dchild=1&keywords=laptops&qid=1592682181&sr=8-265
David Spector,"Reviewed in the United States on May 12, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AFMY4JVEKXTVTWM3I6SKU7NIG2LQ,https://www.amazon.com/HP-Intel-i3-8130U-128GB-Laptop/dp/B07H8VG41H/ref=sr_1_265?dchild=1&keywords=laptops&qid=1592682181&sr=8-265
Sheel,"Reviewed in the United States on April 20, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AFMJBV57AL3NQDKKHNAPL3OSJP4Q,https://www.amazon.com/HP-Intel-i3-8130U-128GB-Laptop/dp/B07H8VG41H/ref=sr_1_265?dchild=1&keywords=laptops&qid=1592682181&sr=8-265
Michael S.,"Reviewed in the United States on April 13, 2020",4.0 out of 5 stars,/gp/profile/amzn1.account.AHGEQLQNBDNYQFOQG7CHHIAKUFQQ,https://www.amazon.com/HP-Intel-i3-8130U-128GB-Laptop/dp/B07H8VG41H/ref=sr_1_265?dchild=1&keywords=laptops&qid=1592682181&sr=8-265
Amazon Customer,"Reviewed in the United States on May 19, 2020",4.0 out of 5 stars,/gp/profile/amzn1.account.AGYDZHPAVGQVCJRCBOTPWZDSC63Q,https://www.amazon.com/HP-Intel-i3-8130U-128GB-Laptop/dp/B07H8VG41H/ref=sr_1_265?dchild=1&keywords=laptops&qid=1592682181&sr=8-265
Tamara,"Reviewed in the United States on April 27, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AGTTZ2H4UKRPPVPGHSPDLJX5EFRQ,https://www.amazon.com/HP-Intel-i3-8130U-128GB-Laptop/dp/B07H8VG41H/ref=sr_1_265?dchild=1&keywords=laptops&qid=1592682181&sr=8-265
Donnie goble,"Reviewed in the United States on April 30, 2020",5.0 out of 5 stars,/gp/profile/amzn1.account.AG575QWKYLUAZ4IJLKGGDTU3I2LA,https://www.amazon.com/HP-Intel-i3-8130U-128GB-Laptop/dp/B07H8VG41H/ref=sr_1_265?dchild=1&keywords=laptops&qid=1592682181&sr=8-265
LH,"Reviewed in the United States on June 19, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AHZGRMWHTZJNA2KZWY7UAX2LOBNQ,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
Tim Butterfield,"Reviewed in the United States on June 16, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AEUYPRGDGYTO7ZEDM7PL6WPQ4LYA,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
Jorge George,"Reviewed in the United States on September 27, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AG4IZFATUXB4QNIASLBXYEKVQU4Q,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
S. mills,"Reviewed in the United States on May 29, 2019",3.0 out of 5 stars,/gp/profile/amzn1.account.AFEJCLZW5KDNVQUDYUWCJI46M26A,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
kenneth m kasper,"Reviewed in the United States on September 3, 2019",2.0 out of 5 stars,/gp/profile/amzn1.account.AGSQJAZII6RFD6G4KKDIYJZ4SL2Q,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
RickW,"Reviewed in the United States on November 24, 2019",2.0 out of 5 stars,/gp/profile/amzn1.account.AFUUQCVYI6T7YPJXXMR26JTH67UA,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
Joshua,"Reviewed in the United States on November 8, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AELOMK7VQND63P5NIVSA5Q2ZNQLQ,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
Perrigoat,"Reviewed in the United States on July 23, 2019",4.0 out of 5 stars,/gp/profile/amzn1.account.AEX67243XL4VZU4TTVCPPCZ7X2LQ,https://www.amazon.com/Dell-Inspiron-Touchscreen-Processor-i5481-3595GRY/dp/B07P4LFDT7/ref=sr_1_269?dchild=1&keywords=laptops&qid=1592682181&sr=8-269
Alicia H,"Reviewed in the United States on April 23, 2020",1.0 out of 5 stars,/gp/profile/amzn1.account.AHJP3K4KAPLCW7FAB37PCUOBDZHA,https://www.amazon.com/Flagship-HP-Micro-Edge-Quad-Core-i5-1035G1/dp/B081P3QVWC/ref=sr_1_292?dchild=1&keywords=laptops&qid=1592682183&sr=8-292
Alberto007,"Reviewed in the United States on May 23, 2020",4.0 out of 5 stars,/gp/profile/amzn1.account.AHUEALMTR2IG7P7ZDCV3AW3SIMRA,https://www.amazon.com/Flagship-HP-Micro-Edge-Quad-Core-i5-1035G1/dp/B081P3QVWC/ref=sr_1_292?dchild=1&keywords=laptops&qid=1592682183&sr=8-292
nana,"Reviewed in the United States on July 20, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AG7BHVHNKQSTP7YYOUFESDYWJ6IA,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
Lorencio Shiu Mateo,"Reviewed in the United States on September 7, 2019",3.0 out of 5 stars,/gp/profile/amzn1.account.AFYVPA5E7T322MSBUWLVHCR2QPKA,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
Missblondee,"Reviewed in the United States on November 9, 2019",5.0 out of 5 stars,/gp/profile/amzn1.account.AG6HYSA54AYRVMSG37RDSOCXJIFQ,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
Sheri L. Klein,"Reviewed in the United States on September 4, 2017",2.0 out of 5 stars,/gp/profile/amzn1.account.AEQPFEJ5E2MDNPID72HSSDPVBWHQ,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
Kindle Customer,"Reviewed in the United States on June 20, 2017",1.0 out of 5 stars,/gp/profile/amzn1.account.AG46A27PLMOYT364CGBEQKP3RSAQ,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
Paul H.,"Reviewed in the United States on December 15, 2019",1.0 out of 5 stars,/gp/profile/amzn1.account.AEYM2UVI3KHLUEMSU43R7PCQVLNA,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
Just my opinion,"Reviewed in the United States on May 6, 2017",1.0 out of 5 stars,/gp/profile/amzn1.account.AGW764WMOOEPJ3LM6A67DMZF7WIA,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
David Talley,"Reviewed in the United States on June 15, 2018",5.0 out of 5 stars,/gp/profile/amzn1.account.AGKYPDKEEIM2GJK32TNR6BMSPJHQ,https://www.amazon.com/HP-Touchscreen-Processor-Certified-Refurbishd/dp/B06XJ9233S/ref=sr_1_301?dchild=1&keywords=laptops&qid=1592682184&sr=8-301
